"ID","legal_name","name","score","gps_latitude","gps_longitude","house_num","street","city","district","zip","city_district_num","address"
1,"MEC 3","MEC 3 s.r.o.",5,50.027297974,14.415344238,"1731/8a","Psohlavců","Praha"," Braník","14700","Praha 4","Psohlavců 1731/8a, 147 00  Praha, Braník"
2,"Ivana Melicharová","Cukrárna U Borůvky",5,50.098739624,14.398405075,"525/6","Kyjevská","Praha"," Dejvice","16000","Praha 6","Kyjevská 525/6, 160 00  Praha, Dejvice"
3,"Buchal František Dekorační ozdoby z cukru","Cukrárna Buchalovi",4.5,50.150238037,14.498273849,"977/2","U Červeného mlýnku","Praha"," Čakovice","19600","Praha 9","U Červeného mlýnku 977/2, 196 00  Praha, Čakovice"
4,"Hájek a Boušová","OVOCNÝ SVĚTOZOR",4.5,50.062839508,14.314291954,"1234/279","Plzeňská","Praha"," Stodůlky","15500","Praha 5","Plzeňská 1234/279, 155 00  Praha, Stodůlky"
5,"Hájek a Boušová","OVOCNÝ SVĚTOZOR",4.5,50.044116974,14.456075668,"412/14","Počátecká","Praha"," Michle","14000","Praha 4","Počátecká 412/14, 140 00  Praha, Michle"
6,"Hájek a Boušová","OVOCNÝ SVĚTOZOR",4,50.08172226,14.425261497,"791/39","Vodičkova","Praha"," Nové Město","11000","Praha 1","Vodičkova 791/39, 110 00  Praha, Nové Město"
7,"Hájek a Boušová","OVOCNÝ SVĚTOZOR",4.5,50.071006775,14.484308243,"1022/42","V olšinách","Praha"," Strašnice","10000","Praha 10","V olšinách 1022/42, 100 00  Praha, Strašnice"
8,"Mgr. Jana Dyršmídová","Cukrárna Amarilis",4,50.111286163,14.498075485,"94/6","Pešlova","Praha"," Vysočany","19000","Praha 9","Pešlova 94/6, 190 00  Praha, Vysočany"
9,"Mgr. Jana Dyršmídová","Cukrárna Amarilis",3.5,50.087574005,14.47925663,"2913/56","Olgy Havlové","Praha"," Žižkov","13000","Praha 3","Olgy Havlové 2913/56, 130 00  Praha, Žižkov"
10,"Pavel Rakovec","CUKRÁRNA FANYNKA",5,50.046520233,14.310788155,"2345/7","Hábova","Praha"," Stodůlky","15500","Praha 5","Hábova 2345/7, 155 00  Praha, Stodůlky"
11,"futurista","Černá Madona Archa",3.5,50.089672089,14.433664322,"1046/24","Na Poříčí","Praha"," Nové Město","11000","Praha 1","Na Poříčí 1046/24, 110 00  Praha, Nové Město"
12,"CrossCafe original","CrossCafe na Karláku",4,50.075698853,14.418499947,"2097/10","Karlovo náměstí","Praha"," Nové Město","12000","Praha 2","Karlovo náměstí 2097/10, 120 00  Praha, Nové Město"
