"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Cukrárna Závodská","4.6","81","Gutova 108","Strašnice",,"CZ","https://www.cukrarnazavodska.cz/","+420 724 680 554","Kavárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Z%C3%A1vodsk%C3%A1/@50.0699806,14.4883775,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9328c800c0fd:0xcb153d8ad208edf0!8m2!3d50.0699806!4d14.4883775!16s%2Fg%2F11q2r04n_k?hl=cs&entry=ttu"
"Cukrárna Slámovka","4.1","50","Na Okraji 46a","Praha 6",,"CZ","https://www.slamovka.com/","+420 221 228 430","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Sl%C3%A1movka/@50.0898743,14.3436124,17z/data=!3m1!4b1!4m6!3m5!1s0x470bbf40906541bb:0xfc2dc5d067bc30f6!8m2!3d50.0898743!4d14.3436124!16s%2Fg%2F11h5mlbz3_?hl=cs&entry=ttu"
"Cukrárna Parník","5","5","Gen. Janouška 902/17","Praha 14-Černý Most",,"CZ","http://www.poliklinikaparnik.cz/lah-dky,-cukrarna.html",,"Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Parn%C3%ADk/@50.1070034,14.5721021,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed6667cc3f4f:0x37e0870e952ad742!8m2!3d50.1070034!4d14.5721021!16s%2Fg%2F11j01d0gdb?hl=cs&entry=ttu"
"Rodinná cukrárna a herna Skibi","4.5","11","Budějovická 1667/64","Praha 4",,"CZ","http://cukrarna-skibi.cz/","+420 222 367 724","Cukrárna","https://www.google.com/maps/place/Rodinn%C3%A1+cukr%C3%A1rna+a+herna+Skibi/@50.0437773,14.4491012,17z/data=!3m1!4b1!4m6!3m5!1s0x470b935db9b601af:0x60c6e9612db654ca!8m2!3d50.0437773!4d14.4491012!16s%2Fg%2F11tf53lg1m?hl=cs&entry=ttu"
"Cukrárna Hanny","3.2","72","nám. Osvoboditelů 1372","Praha 16",,"CZ","https://www.cukrarnahanny.cz/","+420 257 810 497","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Hanny/@49.9842638,14.3592184,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9705635810f9:0xda2017735d2fb96!8m2!3d49.9842638!4d14.3592184!16s%2Fg%2F1v5k1qsp?hl=cs&entry=ttu"
"Werichova vila by IF","4.4","1430","7, U Sovových mlýnů 501","Malá Strana",,"CZ","https://www.instagram.com/fabesovaiveta/","+420 608 459 547","Cukrárna","https://www.google.com/maps/place/Werichova+vila+by+IF/@50.0853844,14.4080627,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94e47d20e359:0x2505ca0b59bc5a59!8m2!3d50.0853844!4d14.4080627!16s%2Fg%2F11g8wpbv14?hl=cs&entry=ttu"
"Cukrárna a lahůdky Vrážská","3.8","33","Vrážská 463/6","Radotín",,"CZ","https://www.cukrarna-panda.cz/","+420 257 811 425","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+a+lah%C5%AFdky+Vr%C3%A1%C5%BEsk%C3%A1/@49.9852356,14.3642238,17z/data=!3m1!4b1!4m6!3m5!1s0x470b971ae812194d:0x13020ac8e9ea71de!8m2!3d49.9852356!4d14.3642238!16s%2Fg%2F1vd700yt?hl=cs&entry=ttu"
"Cukrárna","2.3","3","Havlíčkova 6","Nové Město",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0891206,14.4326965,17z/data=!3m1!4b1!4m6!3m5!1s0x470b959b13612193:0x7afcfbb96bd08975!8m2!3d50.0891206!4d14.4326965!16s%2Fg%2F11shlm37wx?hl=cs&entry=ttu"
"Cukrárna Na Pěšině","4.5","500","Spořická 314/42","Praha-Dolní Chabry",,"CZ","http://www.napesine.cz/","+420 731 447 713","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Na+P%C4%9B%C5%A1in%C4%9B/@50.1460249,14.4476757,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb0f1d8117fd:0xd248c257070dc61a!8m2!3d50.1460249!4d14.4476757!16s%2Fg%2F12mkw9bp_?hl=cs&entry=ttu"
"Bistro Eva - Uni Cukrárna","4.6","29","Vršovická 34","Praha 10-Vršovice",,"CZ",,"+420 271 746 348","Prodejna zákusků","https://www.google.com/maps/place/Bistro+Eva+-+Uni+Cukr%C3%A1rna/@50.0658617,14.4527687,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9378be4016ed:0x7f319bb85ebc3e3c!8m2!3d50.0658617!4d14.4527687!16s%2Fg%2F1hc36rn4r?hl=cs&entry=ttu"
