"title","description","stars","review_count","address","addr_zip","phone/country_code","phone/number","phone/role","url"
"MEC 3","Společnost je předním dodavatelem cukrářských a pekařských surovin. Dováží a distribuuje zmrzlinářské suroviny italské značky MEC3 pro výrobu kopečkové (Gelato) a točené (Softové) zmrzliny, holandské a německé kakao ADM (Olam) a další cukrářské a pekařské suroviny a pomůcky.","5","5","Psohlavců 1731/8a, 147 00  Praha, Braník","14700","420","241001271","Telefon","https://mec3.cz"
"Fanynka","On-line i přímý prodej dortů, zákusků i chlebíčků. S doručením po Praze a okolí do 120 minut. Také doručujeme do Berouna, Kladna a okolí do 150 minut. Dorty, zákusky i chlebíčky pro všechny s mlsnými jazýčky.","4.5","11","Hábova 2345/7, 155 00  Praha, Stodůlky","15500","420","739323948","Mobil","https://www.sladkapohotovost.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","36","Dejvická 306/9, 160 00  Praha, Dejvice","16000","420","774444845","Mobil","https://www.ovocnysvetozor.cz"
"Buchal František, Dekorační ozdoby z cukru","Pan Buchal má titul Cukrář roku 2016. Děláme vánočky, vánoční cukroví, mazance, chlebíčky. Výroba ozdob z marcipánu a čokolády. Firemní dorty, dětské dorty, narozeninové dorty a svatební dorty. Nabízíme dorty z fotografií na jedlém papíru, marcipánové figurky, ozdoby a výrobky z marcipánu.","5","26","U Červeného mlýnku 977/2, 196 00  Praha, Čakovice","19600","420","606349735","Telefon","https://www.buchalovi.cz/"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","24","Plzeňská 1234/279, 155 00  Praha, Stodůlky","15500","420","774444868","Mobil","https://www.ovocnysvetozor.cz"
"Josef Čtrnáct","V naší prodejně můžete ochutnat z našich čerstvých produktů studené kuchyně, cukrářských výrobků i teplého občerstvení. Nabízíme Vám možnost konzumace ve stylovém prostředí zrekonstruovaných prostor farního domu.","5","2","Křižíkova 7/57, 186 00  Praha, Karlín","18600","420","725930748","Mobil","http://www.lahudkynafare.cz"
"Hájek a Boušová","Zajišťujeme výrobu a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","5","17","V olšinách 1022/42, 100 00  Praha, Strašnice","10000","420","774444847","Mobil","https://www.ovocnysvetozor.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","11","Počátecká 412/14, 140 00  Praha, Michle","14000","420","774444871","Mobil","https://www.ovocnysvetozor.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4","27","Vodičkova 791/39, 110 00  Praha, Nové Město","11000","420","774444874","Mobil","https://www.ovocnysvetozor.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","5","9","Sokolovská 32/22, 186 00  Praha, Karlín","18600","420","774444872","Mobil","https://www.ovocnysvetozor.cz"
"Mgr. Jana Dyršmídová","Široký výběr dortů, zákusků, cukrářských výrobků, chlebíčků a obložených mís. Vše vlastní výroba. K tomu doporučujeme kávu, čokoládu nebo koktejl.","3.5","3","Olgy Havlové 2913/56, 130 00  Praha, Žižkov","13000","420","222515224","Telefon","https://amarilis.cz"
"Mgr. Jana Dyršmídová","Široký výběr dortů, zákusků, cukrářských výrobků, chlebíčků a obložených mís. Vše vlastní výroba. K tomu doporučujeme kávu, čokoládu nebo koktejl.","4","15","Pešlova 94/6, 190 00  Praha, Vysočany","19000","420","283923141","Telefon","https://amarilis.cz"
"Pavel Rakovec","Vyrábíme chlebíčky, dorty a zákusky v nadstandardní kvalitě bez použití rostlinných tuků, chemických konzervačních látek a práškových vycpávek. Dále můžete využít rozvoz celého našeho sortimentu, to znamená sladkých i slaných pochutin pro vaši kancelář či domů. Jsme také v aplikaci Dáme jídlo.","5","6","Hábova 2345/7, 155 00  Praha, Stodůlky","15500","420","739323948","Telefon","https://www.facebook.com/cukrarnafanynka/"
"Mgr. Jana Dyršmídová","Široký výběr dortů, zákusků, cukrářských výrobků, chlebíčků a obložených mís. Vše vlastní výroba. K tomu doporučujeme kávu, čokoládu nebo koktejl.","4.5","17","Arkalycká 757/6, 149 00  Praha, Háje","14900","420","272941898","Telefon","https://amarilis.cz"
"CrossCafe original","Z naší první plzeňské kavárny jsme se úspěšně rozrostli do celé ČR. Základem našeho úspěchu je prémiová káva a lahodné produkty vlastní výroby. Pro naše zákazníky vytváříme místo, kde se budou cítit jako doma. Místo pro studium, rande, práci nebo relax.","4","9","Karlovo náměstí 2097/10, 120 00  Praha, Nové Město","12000","420","732691328","Mobil","https://www.crosscafe.cz"
"Kigi park","Provozujeme zábavní park pro celou rodinu. K dispozici labyrinty a skluzavky, lanový park, trampolínový komplex, fotbalové a basketbalové kurty, vzdušný hokej, horolezecká stěna pro děti, houpačky, vzduchovky a dokonce i bungee. A to vše za jediné vstupné.","4.5","28","Radlická 520/117, 158 00  Praha, Jinonice","15800",,,,"https://superland.cz"
"Lucie Jirásková","Provoz prvorepublikové kavárny s kouzlem nostalgie. Můžete si vychutnat symbiózu kvalitní české kuchyně, výběrové kávy a přírodních vín v útulném interiéru, zasvěcenému české kulturní historii.","3.5","6","Evropská 664/134, 160 00  Praha, Dejvice","16000","420","222741262","Telefon","https://www.cafejirasek.cz"
"Zajíček na koni","Provozujeme hudební kavárnu inspirovanou Francií. Nabízíme kávu Bazzara, česká i francouzská vína, pivo Chotěboř, snídaně, obědy, večeře a francouzské dezerty. Kavárna je zároveň i pracovištěm pro lidi s handicapem. V kavárně se nachází klavír s dalšími hudebními nástroji.","5","3","Podskalská 2054/8, 128 00  Praha, Nové Město","12800","420","733748662","Mobil","http://www.cafeadastra.cz"
"POJA","Provoz cukrárny.","4.5","1","Matějovského 153/11, 153 00  Praha, Radotín","15300",,,,
"Food Code Cacao","Jsme kavárna v centru města. Naše zmrzliny, dezerty a dorty si vyrábíme podle vlastních receptur. K pití si u nás dáte skvělou kávu, výběrové sypané čaje, čerstvě připravené šťávy, anebo skvělé saláty.","4","26","V celnici 1031/4, 110 00  Praha, Nové Město","11000","420","777511677","Mobil","https://cacaoprague.cz"
"Tomáš Kadlec","Poctivé domácí výrobky a příjemné posezení u šálku výborné kávy. Dorty, zákusky, chlebíčky, kanapky, pomazánky, obložené mísy na objednávku.","5","10","Šimůnkova 1625/1, 182 00  Praha, Kobylisy","18200","420","606527758","Mobil","https://www.lahudky-cukrarna.cz"
"Pohoda - společnost pro normální život lidí s postižením","Provozujeme kavárnu s nabídkou fair tradeové kávy, domácích koláčů či lehkým jídlem. Pro děti máme připravený koutek na hraní a mléčné koktejly. Zajišťujeme cateringové služby, konference a byznys snídaně. Pořádáme narozeninové oslavy, kurzy i semináře. K dispozici je bezbariérový přístup.","4","5","Ve Smečkách 604/5, 110 00  Praha, Nové Město","11000","420","777913414","Mobil","https://www.kavarnabilavrana.cz"
